Model,Accuracy,Precision,Recall,F1
gpt_4o_mini_prediction,0.6556,0.7136,0.6556,0.6523
gpt_4o_mini_prediction,0.6556,0.7136,0.6556,0.6523
GPT-4o-Resolution-400,0.75,0.7735,0.75,0.7391
GPT-4o-mini-Resolution-400,0.6611,0.74,0.6611,0.6639
Phase-1-Resolution-400,0.8444,0.8684,0.8444,0.8331
Phase-2-Resolution-400,0.8611,0.8864,0.8611,0.8589
Phase-3-Resolution-400,0.8778,0.9008,0.8778,0.8721
Phase-4-Resolution-400,0.8667,0.8767,0.8667,0.8623
GPT-4o-Resolution-200,0.7333,0.7682,0.7333,0.7184
GPT-4o-Resolution-200,0.7333,0.7682,0.7333,0.7184
GPT-4o-mini-Resolution-200,0.6722,0.7089,0.6722,0.6641
GPT-4o-mini-Resolution-200,0.6722,0.7089,0.6722,0.6641
Phase-1-Resolution-200,0.8056,0.8325,0.8056,0.7942
Phase-2-Resolution-200,0.85,0.8645,0.85,0.8493
Phase-3-Resolution-200,0.8611,0.8732,0.8611,0.8558
Phase-4-Resolution-200,0.8444,0.8535,0.8444,0.8411
GPT-4o-Resolution-100,0.7,0.7319,0.7,0.694
GPT-4o-mini-Resolution-100,0.6556,0.7056,0.6556,0.6353
Phase-1-Resolution-100,0.7722,0.7879,0.7722,0.7547
Phase-2-Resolution-100,0.8111,0.8152,0.8111,0.7933
Phase-3-Resolution-100,0.8111,0.826,0.8111,0.8074
Phase-4-Resolution-100,0.8556,0.8718,0.8556,0.8463
Low-to-Higher-Trained-100-Prediction-400,0.8667,0.8963,0.8667,0.862
Low-to-Higher-Trained-200-Prediction-400,0.8667,0.8734,0.8667,0.8625
High-to-Lower-Trained-200-Prediction-100,0.8333,0.8532,0.8333,0.8341
High-to-Lower-Trained-400-Prediction-100,0.8333,0.8479,0.8333,0.8315
ResNet-50-Predictions-400,0.5889,0.5906,0.5889,0.5724
ConvNeXt-tiny-Predictions-400,0.6,0.5827,0.6,0.5786
ResNet-50-Predictions-200,0.4833,0.5117,0.4833,0.4578
ConvNeXt-tiny-Predictions-200,0.5611,0.5808,0.5611,0.5458
ResNet-50-Predictions-100,0.3389,0.3986,0.3389,0.3279
ConvNeXt-tiny-Predictions-100,0.5,0.475,0.5,0.4719
